Japanese,English
にんげん,Human
じんるい,Humanity
ひと,people
おとこ,man
おとこのひと,Man
おとこのこ,Boy
おんな,Woman
おんなのひと,Woman
おんなのこ,Girl
あかちゃん,baby
わかもの,Young people
わたし,I
わたくし,I
ぼく,I
おれ,I
あたし,I
しょうじょ,Girl
しょうねん,Junior high school student
いしゃ,doctor
かんごし,Doctor
かんごふ,Nurse
しかい,But
はいしゃ,Doctor
せいじか,Seijika
べんごし,Pedagogue
しょうぼうし,Firefighter
けいさつかん,Police officer
へいし,soldier
けんちくか,Architect
せんせい,teacher
きょうし,Teacher
かしゅ,Kashu
エンジニア,engineer
あし,legs
かかと,heel
すね,Shin
ひざ,knee
もも,peach
あたま,head
かお,face
くち,mouth
くちびる,Lips
は,teeth
はな,Hana
め,eye
ひげ,beard
かみ,paper
みみ,Ear
おなか,stomach
うで,Arm
ひじ,elbow
かた,shoulder
つめ,Claws
て,hand
てくび,wrist
てのひら,palm
ゆび,Finger
しり,Butt
おなか,stomach
かんぞう,Kanzo
きも,Kimo
きんにく,Muscle
くび,neck
こころ,heart
こし,Strain
しんぞう,Shinzo
せなか,back
ち,Chi
にく,Meat
はだ,Skin
ひふ,Skin
ほね,bone
むね,Breast
かぜ,cold
げり,Geri
びょうき,sickness
かぞく,family
りょうしん,Ryoushin
こども,child
ちち,Father
はは,mother
つま,wife
おっと,Oops
あに,Brother
あね,Older sister
おとうと,younger brother
いもうと,younger sister
きょうだい,siblings
しまい,End
そふ,Soft
そぼ,Sobo
まご,Grandson
おじ,Uncle
おば,Aunt
いとこ,cousin
めい,niece
おい,Hey
いきもの,Living things
ばけもの,monster
どうぶつ,Animals
チーター,Cheetah
いぬ,dog
ねこ,cat
うし,Cow
ぶた,pig
うま,horse
ひつじ,Sheep
さる,Monkey
ねずみ,Mouse
とら,Tora
オオカミ,Wolf
うさぎ,rabbit
りゅう,dragon
しか,deer
かえる,change
がま,Toad
しし,Leo
キリン,giraffe
ぞう,elephant
とり,bird
にわとり,chicken
すずめ,Sparrow
からす,Crow
わし,"eagle, I"
たか,Taka
さかな,Fish
たい,sea ​​bream
えび,shrimp
いわし,sardines
まぐろ,tuna
かつお,bonito
さんま,Pacific saury
あじ,Horse mackerel
さば,Mackerel
イカ,squid
タコ,Octopus
むし,insect
ちょう,butterfly
ガ,Ga
せみ,cicada
トンボ,dragonfly
バッタ,Grasshopper
クモ,spider
ホタル,Fireflies
ハエ,Flies
カ,mosquito
ゴキブリ,cockroach
カタツムリ,snails
ナメクジ,slug
ミミズ,earthworms
かい,shellfish
かいがら,Shell
トカゲ,lizard
へび,snake
くま,bear
しょくぶつ,plants
くさ,grass
はな,Hana
み,fruit
き,tree
は,teeth
ね,hey
くき,stem
きのこ,mushrooms
きく,listen
さくら,cherry blossoms
まつ,pine tree
うめ,Ume
こめ,rice
いね,Like
むぎ,Barley
やさい,vegetable
くだもの,Fruit
いも,potato
まめ,Beans
だいこん,radish
にんじん,Carrots
リンゴ,apple
ミカン,tangerines
バナナ,banana
ナシ,No
クリ,chestnut
モモ,Momo
トマト,tomato
スイカ,watermelon
たべもの,Food
ちょうしょく,Meals
ひるごはん,Lunch
ばんごはん,Dinner
ごはん,Rice
みそ,Miso
りょうり,meal
サラダ,salad
デザート,Dessert
パン,bread
サンドイッチ,sandwich
おやつ,snack
アイスクリーム,ice cream
たこやき,Takoyaki
のみもの,Drinks
ちゃ,tea
おちゃ,Ocha
コーヒー,coffee
ぎゅうにゅう,Milk
みず,water
ビール,Beer 
ワイン,wine
さとう,sugar
